method_or_case,flag_role,flagged_pct,expected_low_pct,expected_high_pct,qc_status,interpretation
low_tp_family_flag,trigger_family_independent,17.935,0.0,100,OK,No fixed review band configured.
temporal_drop_family_flag,trigger_family_independent,11.431,0.0,100,OK,No fixed review band configured.
expected_tp_family_flag,trigger_family_independent,4.591,2.0,15,OK,Expected-throughput family combines radio-P75 and RB-conditioned P75.
rb_efficiency_family_flag,trigger_family,1.607,0.5,8,OK,RB-efficiency family should not dominate; it confirms inefficient use of allocated RBs.
sustained_window_family_flag,context_or_case_family_alias,11.058,0.0,100,OK,No fixed review band configured.
radio_limited_family_flag,context_or_case_family_alias,6.97,0.0,100,OK,No fixed review band configured.
ca_underperformance_family_flag,context_or_case_family_alias,1.988,0.0,100,OK,No fixed review band configured.
low_tp_fixed_flag,trigger_detail,17.213,10.0,25,OK,"10 Mbps should capture the lower tail, not half the route."
low_tp_global_p10_flag,trigger_detail,10.001,9.0,11,OK,Global P10 should be almost exactly 10% by construction.
low_tp_session_p10_flag,trigger_detail,8.329,3.0,12,OK,Session P10 should be lower than 10% overall after the low-session-threshold guard.
low_tp_robust_z_flag,trigger_detail,3.552,1.0,6,OK,Robust z is an extreme lower-tail method; 0% usually means the threshold is too strict.
low_tp_iqr_flag,trigger_detail,3.967,1.0,6,OK,Log-IQR should catch only extreme low-throughput outliers.
rolling_drop_flag,trigger_detail,8.729,3.0,15,OK,"Rolling drop should capture local collapses, not every low segment."
rolling_sustained_degradation_flag,trigger_detail,11.058,5.0,18,OK,Sustained window degradation can be broader than extreme outlier methods.
sudden_drop_flag,trigger_detail,7.327,3.0,15,OK,Sudden one-sample drops are common in drive tests but should stay bounded.
underperform_vs_p75_flag,trigger_detail,3.884,1.0,10,OK,Reliable radio-P75 underperformance should be narrower after RB-demand gating.
underperform_vs_rb_p75_flag,trigger_detail,4.001,1.0,10,OK,RB-conditioned P75 underperformance should be narrow and high confidence.
low_rb_efficiency_high_rb_flag,trigger_detail,1.607,0.5,8,OK,Low throughput-per-RB under medium/high RB should be narrow and high confidence.
ca_underperformance_flag,trigger_detail,1.988,1.0,8,OK,Tightened CA underperformance should not dominate the anomaly table.
radio_limited_degradation_flag,case_context,6.97,3.0,18,OK,"With calibrated poor-radio thresholds, this should focus on clearly bad radio evidence."
unexpected_underperformance_flag,case_context,3.843,2.0,12,OK,Unexpected underperformance should be narrower than broad P75 context.
event_related_degradation_flag,context_only,13.127,3.0,18,OK,Event evidence is contextual and should not use near_any_event.
bad_session_flag,context_only,11.663,0.0,100,OK,No fixed review band configured.
bad_session_sample_flag,context_only,6.57,0.0,100,OK,No fixed review band configured.
underperform_vs_p75_context_flag,context_only,19.924,0.0,100,OK,No fixed review band configured.
underperform_vs_rb_p75_context_flag,context_only,10.649,0.0,100,OK,No fixed review band configured.
p75_underperformance_demand_unknown_context_flag,context_only,15.476,0.0,100,OK,No fixed review band configured.
low_tp_low_rb_flag,case_context,12.684,0.0,100,OK,No fixed review band configured.
rb_low_usage_flag,context_only,25.231,0.0,100,OK,No fixed review band configured.
low_tail_robust_consensus_flag,unknown,3.967,0.0,100,OK,No fixed review band configured.
weak_low_rb_only_candidate_flag,context_only,5.431,0.0,100,OK,No fixed review band configured.
is_throughput_anomaly,candidate_gate,25.082,8.0,26,OK,Broad statistical candidate gate. The stricter RCA handoff is controlled separately.
rca_handoff_flag,handoff_gate,19.285,8.0,22,OK,Practical RCA handoff subset after weak low-RB-only suppression.
