json_field,kpi,availability_status,source_or_formula,meaning_and_aggregation,exported_to_rca_handoff,omission_reason
rca_required_kpis.lte_rank,lte_rank,observed,lte_rank,Incident median LTE spatial rank,True,
rca_required_kpis.mimo_layer_utilization_pct,mimo_layer_utilization_pct,derived,"100*(Rank2+Rank3+Rank4)/total rank usage from R1:LTE - PrimaryCell - PCell_Rank1Usage, R2:LTE - PrimaryCell - PCell_Rank2Usage, R3:LTE - PrimaryCell - PCell_Rank3Usage, R4:LTE - PrimaryCell - PCell_Rank4Usage",Incident median percentage of rank usage operating with more than one spatial layer,True,
rca_required_kpis.mimo_throughput_gain_pct,mimo_throughput_gain_pct,derived_estimate,100*(usage-weighted effective spatial layers - 1),Incident median idealized spatial-layer uplift relative to rank 1; not directly measured throughput gain,True,
rca_required_kpis.serving_minus_best_neighbor_rsrp,serving_minus_best_neighbor_rsrp,observed_or_derived,serving_minus_best_neighbor_rsrp,Incident median serving RSRP minus strongest measured neighbor RSRP,True,
rca_required_kpis.near_handover_mobility_flag,near_handover_mobility_flag,derived_event_context,near_handover_mobility_flag,True when any incident row is within the configured mobility window,True,
rca_required_kpis.handover_mobility_count_pm5s,handover_mobility_count_pm5s,derived_event_context,handover_mobility_count_pm5s,Maximum mobility-event count in the symmetric ±5-second context window,True,
rca_required_kpis.ho_dwell_time_s,ho_dwell_time_s,derived,seconds since current serving_cell_key serving segment began,Incident median serving-cell dwell elapsed at anomaly samples,True,
rca_required_kpis.ue_speed_kmh,ue_speed_kmh,observed,speed,Incident median UE speed in km/h,True,
rca_required_kpis.near_rach_failure_flag,near_rach_failure_flag,derived_event_context,near_rach_failure_flag,True when any incident row is near a RACH failure,True,
rca_required_kpis.rach_attempt_count,rach_attempt_count,derived_window_count,rach_attempt_count_pm10s,Maximum incident-row RACH attempt count; window source is not summed to avoid overlap double counting,True,
rca_required_kpis.rach_access_delay_ms,rach_access_delay_ms,observed,rach_latency,Incident median RACH access latency,True,
rca_required_kpis.rach_failure_rate_pct,rach_failure_rate_pct,derived,100*rach_failure_count_pm10s/rach_attempt_count_pm10s,Incident median local RACH failure rate,True,
rca_required_kpis.cell_prb_utilization_pct,cell_prb_utilization_pct,proxy,UE-observed rb_utilization_pct (not clipped at 100),UE-side resource-load proxy; values above 100 indicate aggregation/capacity-estimate mismatch and are not a true cell PM counter,True,
rca_required_kpis.active_user_count,active_user_count,unavailable,,Incident median network-side active-user count,False,Omitted because the KPI is null for the complete dataset
rca_required_kpis.cell_traffic_volume_mb,cell_traffic_volume_mb,unavailable,,Incident median/available cell traffic-volume counter,False,Omitted because the KPI is null for the complete dataset
rca_required_kpis.neighbor_cell_traffic_delta,neighbor_cell_traffic_delta,unavailable,,Incident median serving-versus-neighbor traffic delta,False,Omitted because the KPI is null for the complete dataset
rca_required_kpis.cross_cell_ue_overlap,cross_cell_ue_overlap,unavailable,,Incident median cross-cell UE overlap,False,Omitted because the KPI is null for the complete dataset
rca_required_kpis.neighbor_cell_availability,neighbor_cell_availability,derived,neighbor_count > 0,Percentage of incident rows with at least one measured LTE neighbor,True,
rca_required_kpis.eighbor_cell_availability,eighbor_cell_availability,alias,neighbor_cell_availability,Backward-compatible alias for the requested field spelling,True,
