json_field,section,meaning
incident_id,Identity,Operational incident identifier
session_id/start_time/end_time/duration_seconds,Identity,When the anomaly occurred
serving_cell_key/PCI/ECI/EARFCN/band,Cell,Serving cell identity for RCA
approximate_location.*,Map,Median anomaly-observation coordinate and P90 observation spread; not tower location
detection_case,Detection,Primary presentation case; not a final root cause
planning_relevance.*,Planning,Coverage/planning review flag for radio-limited incidents
impact_score_0_100/detection_confidence_0_100/persistence_score_0_100/severity,Ranking,Incident-level ranking evidence
requires_human_review,Governance,True for balanced supervised ML-only anomalies
throughput.*,Impact,"Actual, expected, comparison-source, gap, and local-drop evidence"
cell_performance_context.*,Cell ranking,Cell/PCI badness ranks and compact KPI context
radio_kpis.*,Radio evidence,RSRP/RSRQ/SINR/CQI/MCS/BLER
resource_kpis.*,Resource evidence,RB demand and throughput efficiency
rca_required_kpis.*,RCA requested KPIs,"Observed/derived RCA mobility, RACH, MIMO, neighbor and load fields; dataset-wide all-null network counters are omitted"
ca_context.*,CA evidence,Carrier aggregation and SCell context
statistical_evidence.*,Detector evidence,P10/IQR/MAD/temporal/P75/RB-efficiency/radio evidence
production_ml_evidence.*,ML evidence,Selected production HGB/Q75 evidence; LSTM and Isolation Forest excluded
rca_required_kpis.lte_rank,RCA requested KPI,Incident median LTE spatial rank
rca_required_kpis.mimo_layer_utilization_pct,RCA requested KPI,Incident median percentage of rank usage operating with more than one spatial layer
rca_required_kpis.mimo_throughput_gain_pct,RCA requested KPI,Incident median idealized spatial-layer uplift relative to rank 1; not directly measured throughput gain
rca_required_kpis.serving_minus_best_neighbor_rsrp,RCA requested KPI,Incident median serving RSRP minus strongest measured neighbor RSRP
rca_required_kpis.near_handover_mobility_flag,RCA requested KPI,True when any incident row is within the configured mobility window
rca_required_kpis.handover_mobility_count_pm5s,RCA requested KPI,Maximum mobility-event count in the symmetric ±5-second context window
rca_required_kpis.ho_dwell_time_s,RCA requested KPI,Incident median serving-cell dwell elapsed at anomaly samples
rca_required_kpis.ue_speed_kmh,RCA requested KPI,Incident median UE speed in km/h
rca_required_kpis.near_rach_failure_flag,RCA requested KPI,True when any incident row is near a RACH failure
rca_required_kpis.rach_attempt_count,RCA requested KPI,Maximum incident-row RACH attempt count; window source is not summed to avoid overlap double counting
rca_required_kpis.rach_access_delay_ms,RCA requested KPI,Incident median RACH access latency
rca_required_kpis.rach_failure_rate_pct,RCA requested KPI,Incident median local RACH failure rate
rca_required_kpis.cell_prb_utilization_pct,RCA requested KPI,UE-side resource-load proxy; values above 100 indicate aggregation/capacity-estimate mismatch and are not a true cell PM counter
rca_required_kpis.eighbor_cell_availability,RCA requested KPI,Backward-compatible alias for the requested field spelling
rca_required_kpis.neighbor_cell_availability,RCA requested KPI,Percentage of incident rows with at least one measured LTE neighbor
dominant_statistical_type,Detection,Dominant statistical type used for traceability; may differ from the primary presentation case
dominant_ml_type,Detection,Dominant production-ML type or normal
peak_row_priority_0_100,Ranking,Maximum one-second row priority; supporting context only
episode_adjusted_priority_0_100,Ranking,Maximum strict-episode priority
incident_final_priority_0_100,Ranking,Canonical priority used consistently for final ranking and handoff
persistence_score_0_100,Persistence,"Incident persistence from longest run, anomalous time, and recurrence"
approximate_location.location_reliability,Map,Reliability of the anomaly-observation centroid
approximate_location.location_uncertainty_radius_m,Map,P90 anomaly-observation spread
approximate_location.location_is_tower_coordinate,Map,Always false unless an external planning-site database is joined
